scenario,category,plane_days,freight_days,ship_days,reward_mean,reward_std,steps_mean,complete_pct,cv_ship,skewness_ship,reward_per_step
Baseline,baseline,2,7,14,4801.4,1513.6,860.93,70.5,264.15,3.5562,5.577
Avion+1zi,mild,3,7,14,5647.89,1792.38,857.06,70.0,264.2,3.5527,6.5898
Avion+2zile,mild,4,7,14,5604.14,1861.54,849.68,69.0,263.99,3.546,6.5956
Freight+3zile,mild,2,10,14,5319.16,1787.15,847.11,68.5,264.61,3.5646,6.2792
Freight+5zile,mild,2,12,14,5278.06,1869.32,839.71,69.0,264.91,3.5747,6.2856
Avion+Fr mild,severe,3,10,14,6080.1,2185.78,832.8,66.5,264.72,3.5693,7.3008
Avion+Fr sever,severe,4,12,14,6074.42,2147.86,832.16,66.0,264.24,3.5583,7.2996
Avion rapid,improved,1,7,14,6061.24,1917.47,860.54,72.0,264.84,3.5712,7.0435
Freight rapid,improved,2,5,14,5568.66,1764.57,858.28,70.5,263.75,3.5496,6.4881
Ambii rapizi,improved,1,5,14,6976.37,2016.91,877.9,74.0,264.19,3.5593,7.9466
Stoch usor,stochastic,-1,-2,14,5763.21,2230.61,800.49,60.5,263.11,3.5466,7.1996
Stoch sever,stochastic,-3,-4,14,6101.97,2047.52,845.61,70.0,264.64,3.5685,7.2161
